"Country","World.region","survey","year","Nutrition","Child.mortality","Years.of.schooling","School.attendance","Cooking.fuel","Sanitation","Drinking.water","Electricity","Housing","Assets","Sample.size"
"Philippines","East Asia and the Pacific","DHS","2017",NA,1.47730130702257,3.73240485787392,3.05973738431931,50.2176821231842,22.6138442754745,7.85695686936379,7.01146647334099,32.5690925121307,12.9820436239243,118069
"Rwanda","Sub-Saharan Africa","DHS","2014-2015",19.5779502391815,3.62711064517498,37.8025472164154,11.3554425537586,99.2717087268829,41.6275441646576,59.5655143260956,76.8071413040161,79.7584533691406,49.2505878210068,53794
"Saint Lucia","Latin America and the Caribbean","MICS","2012",1.5010547824204,NA,2.07893270999193,0.227315747179091,2.49682907015085,10.0332975387573,1.6440998762846,2.68926285207272,28.0334442853928,2.2577615454793,4803
"Sao Tome and Principe","Sub-Saharan Africa","MICS","2014",13.9590829610825,3.20241264998913,23.0491474270821,8.61948803067207,42.3416942358017,59.0224802494049,25.6349354982376,28.0688494443893,2.57671438157558,22.4993094801903,13044
"Senegal","Sub-Saharan Africa","DHS","2017",32.843691110611,10.2351799607277,36.017033457756,54.7572672367096,74.5380222797394,44.5576786994934,25.2864331007004,38.3439064025879,36.1615806818008,7.36894607543945,74012
"Serbia","Europe and Central Asia","MICS","2014",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,34.3511641025543,3.06468140333891,2.12376769632101,0.268706493079662,2.35980115830898,0.28091324493289,20420
"Sierra Leone","Sub-Saharan Africa","MICS","2017",27.6563733816147,8.53203013539314,33.7209403514862,19.7165086865425,98.2690095901489,83.5211396217346,44.5398271083832,77.1289348602295,54.2912185192108,45.4026907682419,73909
"South Africa","Sub-Saharan Africa","DHS","2016",21.4991465210915,2.22206264734268,3.6073237657547,0.930020026862621,20.1255276799202,19.2753240466118,15.4835939407349,10.4181744158268,16.3648754358292,8.99175405502319,15248
"South Sudan","Sub-Saharan Africa","MICS","2010",36.2595826387405,12.645611166954,66.8247222900391,71.4405179023743,99.1536855697632,92.1198844909668,61.6814374923706,95.6081807613373,98.2336044311523,69.7132766246796,40008
"Sudan","Arab States","MICS","2014",36.9659125804901,6.37865141034126,27.9603272676468,22.7760151028633,56.9062829017639,66.415148973465,45.0885802507401,52.3149251937866,91.2132441997528,34.8621338605881,87428
